rule_id,policy_name,publish_time,effective_start,effective_end,rule_type,scope,state_name,state_value,source_file,note
rule_001,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11,2023-05-22,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_peak_shaving_pause,1.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,辅助服务规则影响现货可调边际空间。
rule_002,2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11,2023-05-22,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_freq_reserve_tight,1.0,/Users/dk/py/elec/政策环境/2023-04-11印发|2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx,调频容量预留会压缩现货边际可调空间。
rule_003,2024-01-31 电力市场信息披露基本规则,2024-01-31,2024-01-31,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_peak_shaving_pause,1.0,/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx,辅助服务规则影响现货可调边际空间。
rule_004,2024-01-31 电力市场信息披露基本规则,2024-01-31,2024-01-31,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_freq_reserve_tight,1.0,/Users/dk/py/elec/政策环境/2024-01-31 电力市场信息披露基本规则.docx,调频容量预留会压缩现货边际可调空间。
rule_025,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,2025-02-13,2025-02-13,,renewable_mechanism,湖南省售电周度持仓实验,renewable_mechanism_active,1.0,/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,新能源机制电价制度进入执行准备或实施阶段。
rule_026,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,2025-02-13,2025-02-13,,renewable_mechanism,湖南省售电周度持仓实验,mechanism_stage_label,竞价实施,/Users/dk/py/elec/政策环境/2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,新能源机制电价阶段标签。
rule_005,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14,2025-10-14,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_peak_shaving_pause,1.0,/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,辅助服务规则影响现货可调边际空间。
rule_006,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14,2025-10-14,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_freq_reserve_tight,1.0,/Users/dk/py/elec/政策环境/2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx,调频容量预留会压缩现货边际可调空间。
rule_007,2025.10.15湖南省电力市场注册实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_peak_shaving_pause,0.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx,辅助服务规则影响现货可调边际空间。
rule_008,2025.10.15湖南省电力市场注册实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_freq_reserve_tight,1.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力市场注册实施细则.docx,调频容量预留会压缩现货边际可调空间。
rule_009,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,lt_settlement_base,1.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx,中长期动作用作结算底仓，不直接映射物理执行曲线。
rule_010,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,spot_marginal_exposure,1.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx,现货市场承担边际敞口。
rule_011,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,lt_spot_coupling_state,1.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx,中长期与现货存在显式市场衔接机制。
rule_012,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_price_cap_tight,1.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx,现货细则中存在二级价格限值与风险防控安排。
rule_013,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_peak_shaving_pause,1.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx,辅助服务规则影响现货可调边际空间。
rule_014,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_freq_reserve_tight,1.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力现货市场交易实施细则.docx,调频容量预留会压缩现货边际可调空间。
rule_015,2025.10.15湖南省电力调频辅助服务市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_peak_shaving_pause,0.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,辅助服务规则影响现货可调边际空间。
rule_016,2025.10.15湖南省电力调频辅助服务市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_freq_reserve_tight,1.0,/Users/dk/py/elec/政策环境/2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx,调频容量预留会压缩现货边际可调空间。
rule_017,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2025-10-17,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_peak_shaving_pause,0.0,/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,辅助服务规则影响现货可调边际空间。
rule_018,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2025-10-17,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_freq_reserve_tight,1.0,/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,调频容量预留会压缩现货边际可调空间。
rule_019,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2025-10-17,,renewable_mechanism,湖南省售电周度持仓实验,renewable_mechanism_active,1.0,/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,新能源机制电价制度进入执行准备或实施阶段。
rule_020,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2025-10-17,,renewable_mechanism,湖南省售电周度持仓实验,mechanism_stage_label,竞价实施,/Users/dk/py/elec/政策环境/2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx,新能源机制电价阶段标签。
rule_021,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知,2025-10-29,2025-10-29,,renewable_mechanism,湖南省售电周度持仓实验,renewable_mechanism_active,1.0,/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,新能源机制电价制度进入执行准备或实施阶段。
rule_022,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知,2025-10-29,2025-10-29,,renewable_mechanism,湖南省售电周度持仓实验,mechanism_stage_label,竞价实施,/Users/dk/py/elec/政策环境/2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx,新能源机制电价阶段标签。
rule_023,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知,2025-11-05,2025-11-05,,renewable_mechanism,湖南省售电周度持仓实验,renewable_mechanism_active,1.0,/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,新能源机制电价制度进入执行准备或实施阶段。
rule_024,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知,2025-11-05,2025-11-05,,renewable_mechanism,湖南省售电周度持仓实验,mechanism_stage_label,竞价实施,/Users/dk/py/elec/政策环境/2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx,新能源机制电价阶段标签。
rule_030,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2025-12-25,,renewable_mechanism,湖南省新能源增量项目,mechanism_price_floor,0.375,/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,机制电价下限代理取竞价结果最小值。
rule_031,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2025-12-25,,renewable_mechanism,湖南省新能源增量项目,mechanism_price_ceiling,0.375,/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,机制电价上限代理取竞价结果最大值。
rule_032,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2025-12-25,,renewable_mechanism,湖南省新能源增量项目,mechanism_volume_ratio_max,0.8,/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,机制电量比例上限取公布结果最大值。
rule_033,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2025-12-25,,renewable_mechanism,湖南省新能源增量项目,mechanism_exec_term_years,10.0,/Users/dk/py/elec/政策环境/2025.12.25 湖南省2025年度新能源增量项目机制电价竞价结果公布表.xlsx,机制电价执行期限取公布结果最大值。
rule_027,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,lt_price_linked_active,1.0,/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,2026年2月起中长期价格与现货价格挂钩联动。
rule_028,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,fixed_price_ratio_max,0.4,/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,固定价占比上限 40%。
rule_029,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,linked_price_ratio_min,0.6,/Users/dk/py/elec/政策环境/2026.01 关于完善2026年度电力中长期交易价格机制的通知.docx,联动价占比下限 60%。
