week_start,prev_da_price_mean,prev_da_price_std,prev_da_price_max,prev_da_price_min,prev_da_price_q25,prev_da_price_q50,prev_da_price_q75,prev_id_price_mean,prev_id_price_std,prev_id_price_max,prev_id_price_min,prev_id_price_q25,prev_id_price_q50,prev_id_price_q75,prev_spread_mean,prev_spread_std,prev_spread_max,prev_spread_min,prev_spread_q25,prev_spread_q50,prev_spread_q75,prev_net_load_da_mean,prev_net_load_da_std,prev_net_load_da_max,prev_net_load_da_min,prev_net_load_da_q25,prev_net_load_da_q50,prev_net_load_da_q75,prev_net_load_id_mean,prev_net_load_id_std,prev_net_load_id_max,prev_net_load_id_min,prev_net_load_id_q25,prev_net_load_id_q50,prev_net_load_id_q75,prev_load_dev_mean,prev_load_dev_std,prev_load_dev_max,prev_load_dev_min,prev_load_dev_q25,prev_load_dev_q50,prev_load_dev_q75,prev_wind_dev_mean,prev_wind_dev_std,prev_wind_dev_max,prev_wind_dev_min,prev_wind_dev_q25,prev_wind_dev_q50,prev_wind_dev_q75,prev_solar_dev_mean,prev_solar_dev_std,prev_solar_dev_max,prev_solar_dev_min,prev_solar_dev_q25,prev_solar_dev_q50,prev_solar_dev_q75,prev_renewable_ratio_da_mean,prev_renewable_ratio_da_std,prev_renewable_ratio_da_max,prev_renewable_ratio_da_min,prev_renewable_ratio_da_q25,prev_renewable_ratio_da_q50,prev_renewable_ratio_da_q75,prev_renewable_ratio_id_mean,prev_renewable_ratio_id_std,prev_renewable_ratio_id_max,prev_renewable_ratio_id_min,prev_renewable_ratio_id_q25,prev_renewable_ratio_id_q50,prev_renewable_ratio_id_q75,prev_tieline_da_mean,prev_tieline_da_std,prev_tieline_da_max,prev_tieline_da_min,prev_tieline_da_q25,prev_tieline_da_q50,prev_tieline_da_q75,prev_hydro_da_mean,prev_hydro_da_std,prev_hydro_da_max,prev_hydro_da_min,prev_hydro_da_q25,prev_hydro_da_q50,prev_hydro_da_q75,prev_nonmarket_da_mean,prev_nonmarket_da_std,prev_nonmarket_da_max,prev_nonmarket_da_min,prev_nonmarket_da_q25,prev_nonmarket_da_q50,prev_nonmarket_da_q75,weekofyear_sin,weekofyear_cos,is_partial_week,forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh,lt_price_w,lt_price_source,lt_settlement_base,spot_marginal_exposure,lt_spot_coupling_state,ancillary_peak_shaving_pause,ancillary_freq_reserve_tight,ancillary_price_boundary_tight,renewable_mechanism_active,mechanism_price_floor,mechanism_price_ceiling,mechanism_volume_ratio_max,mechanism_exec_term_years,lt_price_linked_active,fixed_price_ratio_max,linked_price_ratio_min,lt_linkage_pre_window,info_disclosure_active,metering_boundary_improved,forecast_boundary_improved,policy_count,policy_source_file_count,policy_parse_failure_count,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window
2025-11-03,319.29900000000004,94.06782917105794,410.27380000000005,0.5625,277.87743750000004,360.1499625,383.18534375,205.15547239583336,142.47750244322924,400.656175,0.0,69.55312500000001,220.91503749999998,333.1809375,-114.14352760416665,133.34597842778183,173.82517500000003,-394.420675,-216.33883749999995,-103.07295,-2.604943750000011,19381.692708333332,2246.0718611191883,24468.0,15553.75,17794.0625,19264.125,20519.4375,18835.366145833334,2184.7272252513394,23579.4225,15103.6625,17564.314375,18205.01375,19895.55875,-546.3265625000001,810.6999347767571,899.6325000000006,-2435.3175,-985.9425000000001,-409.7912500000002,73.72312499999998,-118.12364583333334,387.4395433695371,554.075,-1081.1525000000001,-418.23374999999993,-135.42750000000004,150.90124999999998,327.445,550.8955380032834,1672.605,-298.57250000000005,0.0,0.0,530.290625,0.16324896889820564,0.04912229219839934,0.26073431196761393,0.08758296117703364,0.11740911004988173,0.1679536243932323,0.19076875658212583,0.17426106388222204,0.05845268275460262,0.28663844458445986,0.09035432425263171,0.12259875346197278,0.16296222027875973,0.22222135544983154,7014.494791666667,481.6278886754344,7942.75,6109.0,6782.75,6925.375,7162.5625,4386.973958333333,1475.0907142298904,7494.75,2380.25,3044.9375,4242.875,4970.875,7124.345677083334,1237.7623328107834,9912.71,5115.72,6257.0287499999995,7015.8775000000005,7866.031875000001,-0.7485107481711011,0.6631226582407953,False,3330672.75,3347550.8449999997,319.29900000000004,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,59.0,1.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0
2025-11-10,415.4348169642857,116.64401591017334,647.471575,0.0,390.9506125,426.5143375,490.3707625,392.36693080357145,144.46595505598827,689.47405,0.0,353.04088125,407.4609875,477.9210875,-23.067886160714288,127.31341181245922,319.687575,-371.43745,-72.07795000000002,-9.960149999999992,28.534243749999987,19825.433035714286,2661.9142193849893,26321.5,14383.25,18154.4375,19665.375,21282.375,19925.89788690476,2698.158400361976,26601.2525,14312.57,17986.818124999998,19787.0975,21548.324375,100.46485119047615,679.3522643127882,1864.9824999999992,-2036.1425000000008,-128.99312500000042,173.75874999999996,499.1524999999997,5.055312500000003,301.79108174529625,985.2674999999999,-985.4799999999999,-209.5612500000001,-27.556250000000006,232.709375,82.54233630952383,440.5417110726317,2072.85,-976.5750000000002,-0.08000000000000385,0.0,12.241874999999958,0.1528686748177504,0.07323681681943991,0.3759556636970707,0.03833769341368387,0.09069676587954502,0.1559084710025473,0.20929576952673273,0.15474453431411883,0.08069169907244139,0.3975191767875778,0.031213072966876858,0.08625015719609623,0.15572678851469435,0.210135768002859,6402.949404761905,749.1161570713583,7905.5,4601.5,5791.9375,6339.875,6982.5,4183.824404761905,1127.0754389388358,6537.25,1879.25,3411.875,3946.125,4584.0625,7095.200357142857,1397.8584467946034,10519.0875,4188.1975,5911.148749999999,6876.1975,8214.428125,-0.6631226582407956,0.7485107481711007,False,2950801.5,3055157.9175,415.4348169642857,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,52.0,1.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0
2025-11-17,252.1448183035714,204.3195450678147,539.1145,0.0,0.0,311.13212500000003,448.49254375,304.1966523809524,174.74325581393825,542.453175,0.0,168.29954375,363.3834,446.1701,52.051834077380946,164.21393133817932,538.461575,-310.139125,-17.602137500000012,0.0,113.9600125,17564.29464285714,3655.062435985662,25745.75,11543.5,14567.5625,17357.75,20449.1875,18185.463794642856,3348.7120678242795,25837.4675,12795.16,15187.9475,17722.747499999998,20835.046875,621.1691517857142,924.9451131989628,3479.19,-1524.9099999999999,-31.777500000000146,427.1662499999993,1099.7568750000005,-398.2100148809524,481.6559858771476,416.58500000000004,-2260.495,-678.54,-303.515,-52.12625000000014,-283.6406845238095,667.4088991032485,1202.1749999999997,-2198.2275,-291.06624999999997,0.0,0.0,0.2536845238467889,0.1397294763997576,0.5505271176237028,0.02501787183724811,0.16251716375888386,0.2445904821629515,0.3333647424874515,0.2268568073301586,0.11883030472390943,0.46866080093134044,0.014982249818850586,0.155369247101465,0.2207513838071643,0.30396918704590803,6434.380952380952,664.4497684221402,7690.0,4298.0,6038.8125,6399.25,6894.4375,3849.3824404761904,1454.8990289598962,7277.0,1048.75,2730.3125,3744.125,4887.0,7586.81418154762,2071.080747807698,12000.255000000001,4267.275,5828.785,7439.4087500000005,9341.41125,-0.5680647467311559,0.8229838658936564,False,3201841.75,3291289.8425000003,252.1448183035714,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,45.0,1.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0
2025-11-24,280.2170422619048,188.72429723062274,533.4771000000001,0.0,75.50685,343.9570625,441.06321875,303.45409702380954,178.90759520574775,514.0303,0.0,137.237725,391.08488750000004,457.1033875,23.237054761904762,160.90096244090728,456.993875,-436.4747,-29.272331249999986,0.6557499999999905,85.09363750000001,19058.581845238095,4246.381509529843,29569.25,11598.0,15965.8125,18562.125,22019.625,19591.010967261907,3802.5039459099166,28136.725,13218.5075,16809.129375,19064.23125,21854.309375,532.4291220238096,1481.417815968334,5259.0525,-2383.2424999999994,-376.70187499999986,358.7462500000006,1303.4268749999997,-521.9289583333333,775.4633441384653,1035.3850000000002,-2443.9575,-1061.565625,-369.72,14.458749999999966,-9.648973214285714,513.9515183500388,1598.0500000000002,-2522.9574999999995,-6.25,0.0,52.00562499999996,0.24200883080345065,0.144042245976242,0.5685554610352188,0.03224051645164862,0.1187160275308076,0.2284685843349879,0.35272660109989756,0.22053459797731728,0.12881676567861117,0.49995039156126403,0.015261648960378455,0.12363178981502634,0.19116458780338175,0.3114847732228149,6961.635416666667,669.4473132731476,8378.75,4617.0,6422.9375,6908.75,7446.75,3406.0416666666665,1929.6668786090497,7393.0,701.5,2209.5,2925.0,4425.75,7077.25369047619,2143.9519124510703,10906.47,3088.4375,5132.5356249999995,6828.735000000001,9068.855,-0.4647231720437684,0.88545602565321,False,3084583.75,3077245.7225,280.2170422619048,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,38.0,1.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0
2025-12-01,359.1199200892857,199.68848563717896,604.65065,0.0,195.70653125,463.709075,513.43146875,311.7776611607143,208.52131475432356,605.47945,0.0,87.8533875,369.976425,496.14508750000005,-47.342258928571425,119.67197553244972,199.52055000000004,-470.27765,-64.76640625000002,-4.501325000000001,1.9467750000000046,18360.61755952381,4687.276896272034,27885.25,8204.0,14232.125,18552.0,21663.125,18316.938824404762,4247.206333692225,27932.805,10962.6,14370.59875,18297.27375,21311.23875,-43.678735119047566,1024.8230333397883,3169.4300000000003,-2552.0774999999994,-529.8781249999995,-26.13499999999999,424.8762499999996,-36.36328869047619,631.6926529362177,1622.0774999999999,-1545.0925,-294.37375,-45.96374999999999,249.96812499999996,-48.97880952380954,489.6846242412559,1929.6875000000002,-1820.8650000000002,-34.384999999999984,0.0,0.0,0.24781127151183066,0.17640799837061433,0.6839032051180227,0.036451767723808315,0.091720716628737,0.1943791925747811,0.3857235211080359,0.2456649983911689,0.15901845824261693,0.5855833901690062,0.03225193232769698,0.10715850796969288,0.18564475247027612,0.36898035025364934,6787.025297619048,850.7373966363684,8633.75,4359.5,6155.1875,6826.375,7367.875,3249.9806547619046,1752.2801119602982,6540.25,481.0,1811.75,3465.75,4346.4375,7484.199300595237,2022.487973266598,11439.157500000001,3946.6475,5605.308125,7587.295,8828.7,-0.35460488704253595,0.9350162426854147,False,3525623.0,3544410.785,359.1199200892857,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,31.0,1.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0
2025-12-08,425.0034566964286,110.48635024986721,548.822525,0.0,414.70519375,454.57403750000003,481.85340625,405.1380824404762,115.88650187432482,643.01725,27.456875,370.267325,441.140975,482.922625,-19.86537425595238,111.97160974209123,416.35360000000003,-371.4724,-32.03551250000001,-4.620350000000002,12.857512499999999,20985.85119047619,3750.639967836411,29052.25,14011.0,18126.1875,20450.125,23638.0625,21097.68324404762,3976.755553604845,29940.4575,11838.855,18306.477499999997,21033.78375,24068.799375000002,111.8320535714285,1531.8778886367852,5970.007500000001,-3676.1725,-697.0349999999999,-47.41749999999956,862.5331249999999,202.53255952380954,807.293683868138,3925.9224999999997,-1533.4975,-93.56125,63.22500000000001,314.17375000000004,-130.26342261904762,646.8204708251467,2266.08,-2833.5125,-186.7862499999999,0.0,0.0,0.15710241070371064,0.11865990596374451,0.47270611386841677,0.01870696330335845,0.06349553723190961,0.12209374699076055,0.22759835082855578,0.15931581186035823,0.12382225642207854,0.4743834612855489,0.016740200245775074,0.066260489995795,0.11503284308576468,0.23302653633515524,7431.293154761905,556.4156468159348,8359.5,6231.0,6984.0,7349.5,7851.0,2720.7693452380954,1717.4733212986994,6673.0,168.5,1474.75,2297.375,3330.0625,6349.812276785715,2050.528153586051,10669.465,2555.5924999999997,4573.09,6175.475,8219.087500000001,-0.2393156642875578,0.970941817426052,False,3517721.0,3488011.83,425.0034566964286,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,55.0,1.0,0.0,24.0,1.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0
2025-12-15,386.727594047619,120.87308896460156,548.8416,0.0,313.9065875,420.3777625,463.16970625,372.46064553571426,127.91711353116047,620.6869,0.0,315.46365000000003,407.5028125,459.15781875,-14.266948511904765,119.0975413507442,483.29949999999997,-432.28435,-56.78168124999997,-5.430200000000006,23.693174999999997,20938.815476190477,3989.638369311871,29653.5,12841.25,17732.25,20417.5,23876.375,20761.97517857143,3917.850045647441,28883.09,13258.01,17448.709375,20486.184999999998,23938.153125,-176.84029761904762,1088.2854239223554,2821.9025,-2712.49,-700.0106250000006,-222.6850000000004,379.1631250000006,19.769895833333333,670.2494398265093,2869.24,-1998.59,-229.75625,-52.735,397.53125,-187.51441964285712,561.0565979144982,2610.8199999999997,-1954.74,-433.3950000000001,0.0,0.0,0.17830241482091375,0.1293537254976177,0.5044618794754954,0.013053532322712794,0.0725119990550446,0.16358809545950462,0.2434571398999163,0.1751470404018984,0.12659490676715382,0.4601045814115797,0.006876171848721058,0.06872612809178555,0.1452641233387007,0.2618640034192182,7322.175595238095,686.1984045568106,8349.5,5405.25,6926.0,7360.375,7926.875,2531.9196428571427,1946.5515467991852,6688.25,156.5,1347.1875,1853.5,3405.25,6422.089985119047,2293.280929116712,10487.7575,3314.675,4199.50375,5709.563749999999,8577.19,-0.12053668025532363,0.992708874098054,False,3416346.5,3508612.4725,386.727594047619,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,48.0,1.0,0.0,17.0,1.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0
2025-12-22,310.0039550595238,157.77726272030813,534.443675,0.0,205.8521,361.801825,441.64301874999995,300.18002842261905,176.04443365670247,592.278975,0.0,164.9406875,357.9730875,449.97390625,-9.82392663690476,109.35884046183833,386.98400000000004,-320.369975,-62.09683124999999,-8.23073749999999,21.858781249999993,20335.395833333332,3808.0848286331507,28961.75,13003.75,17513.4375,20031.0,23029.625,20884.59805059524,3558.28938736242,29815.51,14452.6625,18180.970625,20215.93625,23555.9925,549.2022172619048,1291.511376339718,4259.385,-1724.4499999999998,-421.2893749999994,361.59000000000015,1198.5125000000005,-152.6834970238095,561.752685045818,1445.5225,-1534.7525,-448.36125,-150.21499999999997,230.4737500000001,-424.95175595238095,756.2028396780161,839.4200000000001,-2877.0825,-613.7268749999995,0.0,0.0,0.1939630175592571,0.12432609767752696,0.5123211251776931,0.01609551133538109,0.08821545470291303,0.16218561699553286,0.27796920338879916,0.17238484815121294,0.10106308959758603,0.4210734791146309,0.009205675659475991,0.09162757895491087,0.14438524166431072,0.24946072366720723,7572.293154761905,703.3252302186174,9124.0,6183.5,7080.0,7555.875,8128.75,2276.278273809524,1714.723168607551,6098.0,-96.5,1257.0,1723.875,2722.4375,6396.541160714286,2264.8315512796516,10660.9825,2554.3525,4195.45625,6837.6925,8416.041874999999,6.432490598706546e-16,1.0,False,3697318.5,3755039.6,310.0039550595238,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,41.0,1.0,0.0,10.0,1.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0
2025-12-29,362.2378569940476,124.92373159022641,645.6137249999999,0.0,283.1860875,387.32745,436.13386875,351.7591867559524,153.03049982630128,609.0319,0.0,256.5971,382.55925,460.55319999999995,-10.478670238095239,82.41619923268021,209.18899999999996,-341.2768,-39.24356249999997,-1.143362499999995,31.973962499999995,22007.848214285714,3934.0832244616868,32037.5,14316.0,19059.5625,21623.5,24909.5,22351.42619047619,4189.719361107937,31730.559999999998,15352.74,18801.591249999998,22252.20625,25635.540625,343.5779761904762,1217.0520383386456,3340.8274999999994,-3888.3899999999994,-296.0987499999999,355.4000000000001,1100.7399999999998,98.12001488095237,698.8610493000963,1343.2725,-2302.7025000000003,-145.183125,7.366250000000001,573.316875,-279.98816964285714,769.3630307022457,2147.575,-3034.6775000000002,-362.9787499999999,0.0,0.0,0.16457126036560527,0.115123987816269,0.4878603526687638,0.017893571614846487,0.08011676237911086,0.15503609945582322,0.209409547264259,0.1594813411358514,0.10643023112360118,0.4395203765679854,0.013663982178551954,0.08633767889204247,0.15512822469637833,0.19769431680469318,8181.196428571428,637.8312159784363,9169.0,6725.25,7714.1875,8448.0,8643.25,2109.1428571428573,1653.956145947297,5875.5,32.0,1085.8125,1547.25,2828.9375,5344.6409375,2093.41256348624,9497.4675,1477.4825,3319.423125,5080.20625,7253.053125,0.12053668025532305,0.992708874098054,False,3835035.875,4108833.95375,362.2378569940476,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.375,0.375,0.8,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31.0,12.0,0.0,34.0,1.0,0.0,3.0,1.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0
