week_start,week_end,is_partial_week,hour_count,quarter_count,forecast_weekly_net_demand_mwh,actual_weekly_net_demand_mwh,da_price_mean,da_price_std,id_price_mean,id_price_std,spread_mean,spread_std,load_dev_std,renewable_dev_std,proxy_da_cost_mean,proxy_da_cost_cvar95,lt_price_w,lt_price_source,lt_settlement_base,spot_marginal_exposure,lt_spot_coupling_state,ancillary_peak_shaving_pause,ancillary_freq_reserve_tight,ancillary_price_boundary_tight,renewable_mechanism_active,mechanism_price_floor,mechanism_price_ceiling,mechanism_volume_ratio_max,mechanism_exec_term_years,mechanism_stage_label,lt_price_linked_active,fixed_price_ratio_max,linked_price_ratio_min,lt_linkage_pre_window,info_disclosure_active,metering_boundary_improved,forecast_boundary_improved,policy_count,policy_source_file_count,policy_parse_failure_count,forward_price_linkage_days,forward_price_linkage_code,forward_price_linkage_in_window,forward_price_linkage_type,forward_mechanism_execution_days,forward_mechanism_execution_code,forward_mechanism_execution_in_window,forward_mechanism_execution_type,forward_ancillary_coupling_days,forward_ancillary_coupling_code,forward_ancillary_coupling_in_window,forward_ancillary_coupling_type,forward_info_forecast_boundary_days,forward_info_forecast_boundary_code,forward_info_forecast_boundary_in_window,forward_info_forecast_boundary_type,policy_sources,policy_names,active_state_groups,failed_policy_files
2025-10-27,2025-11-02 23:45:00,True,48,192,930321.25,904097.575,319.29900000000004,94.06782917105794,205.15547239583336,142.47750244322924,-114.14352760416665,133.34597842778183,810.6999347767571,544.6791178755881,1539471.8898037758,2300740.716355,,warmup_unavailable,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,竞价准备,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,9.0,0.0,60.0,1.0,0.0,lt_price_linkage,60.0,1.0,0.0,renewable_mechanism_execution,60.0,0.0,0.0,none,60.0,0.0,0.0,none,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|d:\elec\政策环境\2024-01-31 电力市场信息披露基本规则.docx|d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|d:\elec\政策环境\2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx|d:\elec\政策环境\2025.10.15湖南省电力市场计量实施规则.docx|d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx|d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2)|2025.10.15湖南省电力市场计量实施规则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,
2025-11-03,2025-11-09 23:45:00,False,168,672,3330672.75,3347550.8449999997,415.4348169642857,116.64401591017334,392.36693080357145,144.46595505598827,-23.067886160714288,127.31341181245922,679.3522643127882,500.6188386586329,2107457.714629204,3622352.5145779415,319.29900000000004,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,竞价准备,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,10.0,0.0,60.0,1.0,0.0,lt_price_linkage,59.0,1.0,0.0,renewable_mechanism_execution,60.0,0.0,0.0,none,60.0,0.0,0.0,none,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|d:\elec\政策环境\2024-01-31 电力市场信息披露基本规则.docx|d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|d:\elec\政策环境\2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx|d:\elec\政策环境\2025.10.15湖南省电力市场计量实施规则.docx|d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx|d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|d:\elec\政策环境\2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2)|2025.10.15湖南省电力市场计量实施规则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,
2025-11-10,2025-11-16 23:45:00,False,168,672,2950801.5,3055157.9175,252.1448183035714,204.3195450678147,304.1966523809524,174.74325581393825,52.051834077380946,164.21393133817932,924.9451131989628,897.3760855369782,1248316.1515039061,3021776.8791992646,415.4348169642857,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,竞价准备,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,lt_price_linkage,52.0,1.0,0.0,renewable_mechanism_execution,60.0,0.0,0.0,none,60.0,0.0,0.0,none,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|d:\elec\政策环境\2024-01-31 电力市场信息披露基本规则.docx|d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|d:\elec\政策环境\2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx|d:\elec\政策环境\2025.10.15湖南省电力市场计量实施规则.docx|d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx|d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|d:\elec\政策环境\2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|d:\elec\政策环境\2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2)|2025.10.15湖南省电力市场计量实施规则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,
2025-11-17,2025-11-23 23:45:00,False,168,672,3201841.75,3291289.8425000003,280.2170422619048,188.72429723062274,303.45409702380954,178.90759520574775,23.237054761904762,160.90096244090728,1481.417815968334,1027.2834756141756,1444434.1253133928,3465498.4843132347,252.1448183035714,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,竞价准备,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,lt_price_linkage,45.0,1.0,0.0,renewable_mechanism_execution,60.0,0.0,0.0,none,60.0,0.0,0.0,none,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|d:\elec\政策环境\2024-01-31 电力市场信息披露基本规则.docx|d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|d:\elec\政策环境\2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx|d:\elec\政策环境\2025.10.15湖南省电力市场计量实施规则.docx|d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx|d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|d:\elec\政策环境\2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|d:\elec\政策环境\2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2)|2025.10.15湖南省电力市场计量实施规则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,
2025-11-24,2025-11-30 23:45:00,False,168,672,3084583.75,3077245.7225,359.1199200892857,199.68848563717896,311.7776611607143,208.52131475432356,-47.342258928571425,119.67197553244972,1024.8230333397883,862.4170566372276,1828260.077786198,3634375.4219529405,280.2170422619048,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,竞价准备,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,lt_price_linkage,38.0,1.0,0.0,renewable_mechanism_execution,60.0,0.0,0.0,none,60.0,0.0,0.0,none,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|d:\elec\政策环境\2024-01-31 电力市场信息披露基本规则.docx|d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|d:\elec\政策环境\2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx|d:\elec\政策环境\2025.10.15湖南省电力市场计量实施规则.docx|d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx|d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|d:\elec\政策环境\2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|d:\elec\政策环境\2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2)|2025.10.15湖南省电力市场计量实施规则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,
2025-12-01,2025-12-07 23:45:00,False,168,672,3525623.0,3544410.785,425.0034566964286,110.48635024986721,405.1380824404762,115.88650187432482,-19.86537425595238,111.97160974209123,1531.8778886367852,989.6019505967287,2288443.3949636533,3560453.458672794,359.1199200892857,estimated_prev_week_da_mean,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,竞价准备,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,11.0,0.0,60.0,1.0,0.0,lt_price_linkage,31.0,1.0,0.0,renewable_mechanism_execution,60.0,0.0,0.0,none,60.0,0.0,0.0,none,d:\elec\政策环境\2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知.docx|d:\elec\政策环境\2024-01-31 电力市场信息披露基本规则.docx|d:\elec\政策环境\2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知.docx|d:\elec\政策环境\2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2).docx|d:\elec\政策环境\2025.10.15湖南省电力市场计量实施规则.docx|d:\elec\政策环境\2025.10.15湖南省电力现货市场交易实施细则.docx|d:\elec\政策环境\2025.10.15湖南省电力调频辅助服务市场交易实施细则.docx|d:\elec\政策环境\2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知.docx|d:\elec\政策环境\2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知.docx|d:\elec\政策环境\2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知.docx|d:\elec\政策环境\2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知.docx,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知|2024-01-31 电力市场信息披露基本规则|2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知|2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2)|2025.10.15湖南省电力市场计量实施规则|2025.10.15湖南省电力现货市场交易实施细则|2025.10.15湖南省电力调频辅助服务市场交易实施细则|2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知|2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知|2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知|2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,
