column,source,is_numeric,selected_for_agent,selected_for_policy_head,report_only
prev_da_price_mean,周度聚合,True,True,False,False
prev_da_price_std,周度聚合,True,True,False,False
prev_da_price_max,周度聚合,True,True,False,False
prev_da_price_min,周度聚合,True,True,False,False
prev_da_price_q25,周度聚合,True,True,False,False
prev_da_price_q50,周度聚合,True,True,False,False
prev_da_price_q75,周度聚合,True,True,False,False
prev_id_price_mean,周度聚合,True,True,False,False
prev_id_price_std,周度聚合,True,True,False,False
prev_id_price_max,周度聚合,True,True,False,False
prev_id_price_min,周度聚合,True,True,False,False
prev_id_price_q25,周度聚合,True,True,False,False
prev_id_price_q50,周度聚合,True,True,False,False
prev_id_price_q75,周度聚合,True,True,False,False
prev_spread_mean,周度聚合,True,True,False,False
prev_spread_std,周度聚合,True,True,False,False
prev_spread_max,周度聚合,True,True,False,False
prev_spread_min,周度聚合,True,True,False,False
prev_spread_q25,周度聚合,True,True,False,False
prev_spread_q50,周度聚合,True,True,False,False
prev_spread_q75,周度聚合,True,True,False,False
prev_price_spread_abs_mean,周度聚合,True,True,False,False
prev_price_spread_abs_std,周度聚合,True,True,False,False
prev_price_spread_abs_max,周度聚合,True,True,False,False
prev_price_spread_abs_min,周度聚合,True,True,False,False
prev_price_spread_abs_q25,周度聚合,True,True,False,False
prev_price_spread_abs_q50,周度聚合,True,True,False,False
prev_price_spread_abs_q75,周度聚合,True,True,False,False
prev_net_load_da_mean,周度聚合,True,True,False,False
prev_net_load_da_std,周度聚合,True,True,False,False
prev_net_load_da_max,周度聚合,True,True,False,False
prev_net_load_da_min,周度聚合,True,True,False,False
prev_net_load_da_q25,周度聚合,True,True,False,False
prev_net_load_da_q50,周度聚合,True,True,False,False
prev_net_load_da_q75,周度聚合,True,True,False,False
prev_net_load_id_mean,周度聚合,True,True,False,False
prev_net_load_id_std,周度聚合,True,True,False,False
prev_net_load_id_max,周度聚合,True,True,False,False
prev_net_load_id_min,周度聚合,True,True,False,False
prev_net_load_id_q25,周度聚合,True,True,False,False
prev_net_load_id_q50,周度聚合,True,True,False,False
prev_net_load_id_q75,周度聚合,True,True,False,False
prev_load_dev_mean,周度聚合,True,True,False,False
prev_load_dev_std,周度聚合,True,True,False,False
prev_load_dev_max,周度聚合,True,True,False,False
prev_load_dev_min,周度聚合,True,True,False,False
prev_load_dev_q25,周度聚合,True,True,False,False
prev_load_dev_q50,周度聚合,True,True,False,False
prev_load_dev_q75,周度聚合,True,True,False,False
prev_wind_dev_mean,周度聚合,True,True,False,False
prev_wind_dev_std,周度聚合,True,True,False,False
prev_wind_dev_max,周度聚合,True,True,False,False
prev_wind_dev_min,周度聚合,True,True,False,False
prev_wind_dev_q25,周度聚合,True,True,False,False
prev_wind_dev_q50,周度聚合,True,True,False,False
prev_wind_dev_q75,周度聚合,True,True,False,False
prev_solar_dev_mean,周度聚合,True,True,False,False
prev_solar_dev_std,周度聚合,True,True,False,False
prev_solar_dev_max,周度聚合,True,True,False,False
prev_solar_dev_min,周度聚合,True,True,False,False
prev_solar_dev_q25,周度聚合,True,True,False,False
prev_solar_dev_q50,周度聚合,True,True,False,False
prev_solar_dev_q75,周度聚合,True,True,False,False
prev_renewable_dev_abs_mean,周度聚合,True,True,False,False
prev_renewable_dev_abs_std,周度聚合,True,True,False,False
prev_renewable_dev_abs_max,周度聚合,True,True,False,False
prev_renewable_dev_abs_min,周度聚合,True,True,False,False
prev_renewable_dev_abs_q25,周度聚合,True,True,False,False
prev_renewable_dev_abs_q50,周度聚合,True,True,False,False
prev_renewable_dev_abs_q75,周度聚合,True,True,False,False
prev_renewable_ratio_da_mean,周度聚合,True,True,False,False
prev_renewable_ratio_da_std,周度聚合,True,True,False,False
prev_renewable_ratio_da_max,周度聚合,True,True,False,False
prev_renewable_ratio_da_min,周度聚合,True,True,False,False
prev_renewable_ratio_da_q25,周度聚合,True,True,False,False
prev_renewable_ratio_da_q50,周度聚合,True,True,False,False
prev_renewable_ratio_da_q75,周度聚合,True,True,False,False
prev_renewable_ratio_id_mean,周度聚合,True,True,False,False
prev_renewable_ratio_id_std,周度聚合,True,True,False,False
prev_renewable_ratio_id_max,周度聚合,True,True,False,False
prev_renewable_ratio_id_min,周度聚合,True,True,False,False
prev_renewable_ratio_id_q25,周度聚合,True,True,False,False
prev_renewable_ratio_id_q50,周度聚合,True,True,False,False
prev_renewable_ratio_id_q75,周度聚合,True,True,False,False
prev_business_hour_spread_mean,周度聚合,True,True,False,False
prev_business_hour_spread_std,周度聚合,True,True,False,False
prev_business_hour_spread_max,周度聚合,True,True,False,False
prev_business_hour_spread_min,周度聚合,True,True,False,False
prev_business_hour_spread_q25,周度聚合,True,True,False,False
prev_business_hour_spread_q50,周度聚合,True,True,False,False
prev_business_hour_spread_q75,周度聚合,True,True,False,False
prev_peak_hour_spread_mean,周度聚合,True,True,False,False
prev_peak_hour_spread_std,周度聚合,True,True,False,False
prev_peak_hour_spread_max,周度聚合,True,True,False,False
prev_peak_hour_spread_min,周度聚合,True,True,False,False
prev_peak_hour_spread_q25,周度聚合,True,True,False,False
prev_peak_hour_spread_q50,周度聚合,True,True,False,False
prev_peak_hour_spread_q75,周度聚合,True,True,False,False
prev_valley_hour_spread_mean,周度聚合,True,True,False,False
prev_valley_hour_spread_std,周度聚合,True,True,False,False
prev_valley_hour_spread_max,周度聚合,True,True,False,False
prev_valley_hour_spread_min,周度聚合,True,True,False,False
prev_valley_hour_spread_q25,周度聚合,True,True,False,False
prev_valley_hour_spread_q50,周度聚合,True,True,False,False
prev_valley_hour_spread_q75,周度聚合,True,True,False,False
prev_tieline_da_mean,周度聚合,True,True,False,False
prev_tieline_da_std,周度聚合,True,True,False,False
prev_tieline_da_max,周度聚合,True,True,False,False
prev_tieline_da_min,周度聚合,True,True,False,False
prev_tieline_da_q25,周度聚合,True,True,False,False
prev_tieline_da_q50,周度聚合,True,True,False,False
prev_tieline_da_q75,周度聚合,True,True,False,False
prev_hydro_da_mean,周度聚合,True,True,False,False
prev_hydro_da_std,周度聚合,True,True,False,False
prev_hydro_da_max,周度聚合,True,True,False,False
prev_hydro_da_min,周度聚合,True,True,False,False
prev_hydro_da_q25,周度聚合,True,True,False,False
prev_hydro_da_q50,周度聚合,True,True,False,False
prev_hydro_da_q75,周度聚合,True,True,False,False
prev_nonmarket_da_mean,周度聚合,True,True,False,False
prev_nonmarket_da_std,周度聚合,True,True,False,False
prev_nonmarket_da_max,周度聚合,True,True,False,False
prev_nonmarket_da_min,周度聚合,True,True,False,False
prev_nonmarket_da_q25,周度聚合,True,True,False,False
prev_nonmarket_da_q50,周度聚合,True,True,False,False
prev_nonmarket_da_q75,周度聚合,True,True,False,False
weekofyear_sin,周度聚合,True,True,False,False
weekofyear_cos,周度聚合,True,True,False,False
is_partial_week,周度聚合,True,True,False,False
forecast_weekly_net_demand_mwh,周度聚合,True,True,False,False
actual_weekly_net_demand_mwh,周度聚合,True,True,False,False
lt_price_w,周度聚合,True,True,False,False
da_id_cross_corr_w,周度聚合,True,True,False,False
extreme_price_spike_flag_w,周度聚合,True,True,False,False
extreme_event_flag_w,周度聚合,True,True,False,False
lt_settlement_base,政策状态,True,True,False,False
spot_marginal_exposure,政策状态,True,True,False,False
lt_spot_coupling_state,政策状态,True,False,False,True
ancillary_peak_shaving_pause,政策状态,True,True,False,False
ancillary_freq_reserve_tight,政策状态,True,True,False,False
ancillary_price_boundary_tight,政策状态,True,False,False,True
renewable_mechanism_active,政策状态,True,True,True,False
mechanism_price_floor,政策状态,True,True,False,False
mechanism_price_ceiling,政策状态,True,True,False,False
mechanism_volume_ratio_max,政策状态,True,True,False,False
mechanism_exec_term_years,政策状态,True,False,False,True
mechanism_stage_label,政策状态,False,False,False,False
lt_price_linked_active,政策状态,True,True,True,False
fixed_price_ratio_max,政策状态,True,True,False,False
linked_price_ratio_min,政策状态,True,True,False,False
lt_linkage_pre_window,政策状态,True,False,False,True
info_disclosure_active,政策状态,True,False,False,True
metering_boundary_improved,政策状态,True,False,False,True
forecast_boundary_improved,政策状态,True,False,False,True
policy_count,政策状态,True,False,False,True
policy_source_file_count,政策状态,True,False,False,True
policy_parse_failure_count,政策状态,True,False,False,True
forward_price_linkage_days,政策状态,True,True,True,False
forward_price_linkage_code,政策状态,True,False,False,True
forward_price_linkage_in_window,政策状态,True,False,False,True
forward_price_linkage_type,政策状态,False,False,False,False
forward_mechanism_execution_days,政策状态,True,True,True,False
forward_mechanism_execution_code,政策状态,True,False,False,True
forward_mechanism_execution_in_window,政策状态,True,False,False,True
forward_mechanism_execution_type,政策状态,False,False,False,False
forward_ancillary_coupling_days,政策状态,True,True,True,False
forward_ancillary_coupling_code,政策状态,True,False,False,True
forward_ancillary_coupling_in_window,政策状态,True,False,False,True
forward_ancillary_coupling_type,政策状态,False,False,False,False
forward_info_forecast_boundary_days,政策状态,True,True,True,False
forward_info_forecast_boundary_code,政策状态,True,False,False,True
forward_info_forecast_boundary_in_window,政策状态,True,False,False,True
forward_info_forecast_boundary_type,政策状态,False,False,False,False
lt_price_source,周度聚合,False,False,False,False
lt_price_fixed_ratio,周度聚合,True,True,False,False
lt_price_linked_ratio,周度聚合,True,True,False,False
