candidate_id,policy_name,publish_time,effective_start_candidate,effective_end_candidate,rule_type_candidate,scope_candidate,state_group_candidate,state_name_candidate,state_value_candidate,evidence_unit_id,evidence_text,extractor,confidence,review_status
candidate_0001,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11,2023-05-22,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_peak_shaving_pause,0.0,unit_0003,辅助服务状态会影响现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0002,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11,2023-05-22,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_freq_reserve_tight,1.0,unit_0003,调频容量预留压缩现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0003,2023-04-11印发2023-05-22公开关于印发《湖南省电力辅助服务市场交易规则（2023版）》的通知,2023-04-11,2023-05-22,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_price_boundary_tight,1.0,unit_0003,辅助服务耦合会改变价格波动边界与现货风险窗口。,parsed_rule_bootstrap,0.85,accepted
candidate_0004,2024-01-31 电力市场信息披露基本规则,2024-01-31,2024-01-31,,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,info_disclosure_active,1.0,unit_0004,信息披露制度改善市场可观测性。,parsed_rule_bootstrap,0.85,accepted
candidate_0005,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,2025-02-13,2025-02-13,2025-12-31 23:59:59,renewable_mechanism_stage,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,竞价准备,unit_0027,新能源机制电价制度进入竞价准备阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0006,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14,2025-10-14,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_peak_shaving_pause,0.0,unit_0008,辅助服务状态会影响现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0007,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14,2025-10-14,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_freq_reserve_tight,1.0,unit_0008,调频容量预留压缩现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0008,2025.10.14关于进一步加强湖南电力辅助服务市场建设有关事项的通知,2025-10-14,2025-10-14,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_price_boundary_tight,1.0,unit_0008,辅助服务耦合会改变价格波动边界与现货风险窗口。,parsed_rule_bootstrap,0.85,accepted
candidate_0009,2025.10.15关于印发《湖南新能源消纳监测统计实施细则（试行）》的通知（湘监能市场〔2025〕58号）(2),2025-10-15,2025-10-15,,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,forecast_boundary_improved,1.0,unit_0009,新能源消纳监测统计提升新能源波动的观测边界。,parsed_rule_bootstrap,0.85,accepted
candidate_0010,2025.10.15湖南省电力市场计量实施规则,2025-10-15,2025-10-15,,info_forecast_boundary,湖南省售电周度持仓实验,info_forecast_boundary,metering_boundary_improved,1.0,unit_0010,计量规则改善偏差结算与观测边界。,parsed_rule_bootstrap,0.85,accepted
candidate_0011,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,market_coupling,lt_settlement_base,1.0,unit_0013,中长期动作用作结算底仓，不直接映射物理执行曲线。,parsed_rule_bootstrap,0.85,accepted
candidate_0012,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,market_coupling,spot_marginal_exposure,1.0,unit_0013,现货市场承担边际敞口。,parsed_rule_bootstrap,0.85,accepted
candidate_0013,2025.10.15湖南省电力现货市场交易实施细则,2025-10-15,2025-10-15,,market_coupling,湖南省售电周度持仓实验,market_coupling,lt_spot_coupling_state,1.0,unit_0013,中长期仅作结算依据，现货承担全电量集中竞价下的边际风险。,parsed_rule_bootstrap,0.85,accepted
candidate_0014,2025.10.15湖南省电力调频辅助服务市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_peak_shaving_pause,0.0,unit_0016,辅助服务状态会影响现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0015,2025.10.15湖南省电力调频辅助服务市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_freq_reserve_tight,1.0,unit_0016,调频容量预留压缩现货边际可调空间。,parsed_rule_bootstrap,0.85,accepted
candidate_0016,2025.10.15湖南省电力调频辅助服务市场交易实施细则,2025-10-15,2025-10-15,,ancillary_coupling,湖南省售电周度持仓实验,ancillary_coupling,ancillary_price_boundary_tight,1.0,unit_0016,辅助服务耦合会改变价格波动边界与现货风险窗口。,parsed_rule_bootstrap,0.85,accepted
candidate_0017,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2025-10-17,2025-12-31 23:59:59,renewable_mechanism_stage,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,竞价准备,unit_0021,新能源机制电价制度进入竞价准备阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0018,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知,2025-10-29,2025-10-29,2025-12-31 23:59:59,renewable_mechanism_stage,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,竞价准备,unit_0023,新能源机制电价制度进入竞价准备阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0019,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知,2025-11-05,2025-11-05,2025-12-31 23:59:59,renewable_mechanism_stage,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,竞价准备,unit_0025,新能源机制电价制度进入竞价准备阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0020,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2026-01-01,,renewable_mechanism_execution,湖南省售电周度持仓实验,renewable_mechanism,renewable_mechanism_active,1.0,unit_0021,新能源机制电价制度自 2026-01-01 起进入执行阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0021,2025.10.17 关于印发《湖南省深化新能源上网电价市场化改革促进新能源高质量发展实施方案》的通知,2025-10-17,2026-01-01,,renewable_mechanism_execution,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,执行期,unit_0021,新能源机制电价制度执行阶段标签。,parsed_rule_bootstrap,0.85,accepted
candidate_0022,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知,2025-10-29,2026-01-01,,renewable_mechanism_execution,湖南省售电周度持仓实验,renewable_mechanism,renewable_mechanism_active,1.0,unit_0023,新能源机制电价制度自 2026-01-01 起进入执行阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0023,2025.10.29关于印发《湖南省新能源机制电价竞价实施细则》的通知,2025-10-29,2026-01-01,,renewable_mechanism_execution,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,执行期,unit_0023,新能源机制电价制度执行阶段标签。,parsed_rule_bootstrap,0.85,accepted
candidate_0024,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知,2025-11-05,2026-01-01,,renewable_mechanism_execution,湖南省售电周度持仓实验,renewable_mechanism,renewable_mechanism_active,1.0,unit_0025,新能源机制电价制度自 2026-01-01 起进入执行阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0025,2025.11.05 关于2025年度新能源机制电价竞价工作有关事项的通知,2025-11-05,2026-01-01,,renewable_mechanism_execution,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,执行期,unit_0025,新能源机制电价制度执行阶段标签。,parsed_rule_bootstrap,0.85,accepted
candidate_0026,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,2025-02-13,2026-01-01,,renewable_mechanism_execution,湖南省售电周度持仓实验,renewable_mechanism,renewable_mechanism_active,1.0,unit_0027,新能源机制电价制度自 2026-01-01 起进入执行阶段。,parsed_rule_bootstrap,0.85,accepted
candidate_0027,2025.2.13 关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知,2025-02-13,2026-01-01,,renewable_mechanism_execution,湖南省售电周度持仓实验,renewable_mechanism,mechanism_stage_label,执行期,unit_0027,新能源机制电价制度执行阶段标签。,parsed_rule_bootstrap,0.85,accepted
candidate_0028,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2026-01-01,,renewable_mechanism_execution,湖南省新能源增量项目,renewable_mechanism,mechanism_price_floor,0.375,unit_0031,机制电价下限代理取竞价结果最小值。,parsed_rule_bootstrap,0.85,accepted
candidate_0029,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2026-01-01,,renewable_mechanism_execution,湖南省新能源增量项目,renewable_mechanism,mechanism_price_ceiling,0.375,unit_0031,机制电价上限代理取竞价结果最大值。,parsed_rule_bootstrap,0.85,accepted
candidate_0030,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2026-01-01,,renewable_mechanism_execution,湖南省新能源增量项目,renewable_mechanism,mechanism_volume_ratio_max,0.8,unit_0031,机制电量比例上限取公布结果最大值。,parsed_rule_bootstrap,0.85,accepted
candidate_0031,湖南省2025年度新能源增量项目机制电价竞价结果公布表,2025-12-25,2026-01-01,,renewable_mechanism_execution,湖南省新能源增量项目,renewable_mechanism,mechanism_exec_term_years,10.0,unit_0031,机制电价执行期限取公布结果最大值。,parsed_rule_bootstrap,0.85,accepted
candidate_0032,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,lt_price_linkage,lt_price_linked_active,1.0,unit_0034,2026-02 起年度多月交易进入固定价与联动价组合口径。,parsed_rule_bootstrap,0.85,accepted
candidate_0033,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,lt_price_linkage,fixed_price_ratio_max,0.4,unit_0034,固定价比例上限 40%。,parsed_rule_bootstrap,0.85,accepted
candidate_0034,2026.01 关于完善2026年度电力中长期交易价格机制的通知,2025-12-31,2026-02-01,,lt_price_linkage,湖南省售电周度持仓实验,lt_price_linkage,linked_price_ratio_min,0.6,unit_0034,联动价比例下限 60%。,parsed_rule_bootstrap,0.85,accepted
